R2 Bucket: green-bond-storage
Prefix: prospektus/
Generated: 2026-03-11

| #   | Folder                                                                           | Files | Size (MB) |
| 194 | 20250212_TAFS_Penyampaian Prospektus                                             |     1 |      0.49 |
| 195 | 20250219_CNAF_Penyampaian Prospektus                                             |     2 |      0.95 |
| 196 | 20250224_ASDF_Penyampaian Prospektus                                             |     2 |      0.62 |
| 197 | 20250225_OPPM_Penyampaian Bukti Iklan Prospektus Ringkas Obligasi Berkelan       |     2 |      3.40 |
| 198 | 20250226_OPPM_Penyampaian Bukti Iklan Pengumuman Informasi Tambahan dan_at       |     2 |      7.42 |
| 199 | 20250303_PTRO_Penyampaian Prospektus                                             |     2 |      0.80 |
| 200 | 20250304_BMRI_Penyampaian Prospektus                                             |     1 |      0.49 |
| 201 | 20250305_TBIG_Penyampaian Prospektus                                             |     2 |      0.88 |
| 202 | 20250307_KAII_Penyampaian Prospektus                                             |     1 |      1.30 |
| 203 | 20250310_FASW_Penyampaian Prospektus                                             |     1 |      0.89 |
| 204 | 20250310_OTMA_Penyampaian Prospektus                                             |     1 |      0.40 |
| 205 | 20250311_SMII_Penyampaian Prospektus                                             |     1 |      0.57 |
| 206 | 20250313_PTRO_Penyampaian Prospektus                                             |     2 |      1.57 |
| 207 | 20250317_FIFA_Penyampaian Prospektus                                             |     2 |      0.73 |
| 208 | 20250320_OPPM_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika       |     2 |      0.90 |
| 209 | 20250320_OPPM_Prospektus Ringkas Penawaran Umum Berkelanjutan Obligasi Ber       |     2 |      0.81 |
| 210 | 20250321_KAII_Penyampaian Prospektus                                             |     1 |      0.66 |
| 211 | 20250324_OPPM_Penyampaian Bukti Iklan Pengumuman Informasi Tambahan dan_at       |     2 |      1.19 |
| 212 | 20250325_OTMA_Penyampaian Prospektus                                             |     2 |      0.52 |
| 213 | 20250410_WIFI_Penyampaian Prospektus                                             |     2 |      0.74 |
| 214 | 20250414_UNKNOWN_Penyampaian Prospektus Waran Terstuktur                          |     1 |      0.81 |
| 215 | 20250414_UNKNOWN_Penyampaian Prospektus Waran Terstuktur (KOREKSI)                |     1 |      0.81 |
| 216 | 20250416_ISSP_Penyampaian Prospektus                                             |     2 |      7.49 |
| 217 | 20250418_BEKS_Prospektus Ringkas Penambahan Modal Dengan Memberikan Hak Me       |     2 |      2.74 |
| 218 | 20250421_BEKS_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Prospektus R       |     1 |      0.19 |
| 219 | 20250421_LPCK_Penyampaian Prospektus                                             |     2 |      9.89 |
| 220 | 20250422_MEDC_Penyampaian Prospektus                                             |     2 |      0.26 |
| 221 | 20250423_BEKS_Prospektus Ringkas Penambahan Modal Dengan Memberikan Hak Me       |     1 |      2.39 |
| 222 | 20250428_MEDP_Pemberitahuan atas Prospektus Ringkas dalam rangka Penawaran       |     2 |      0.94 |
