Nomor,BondId,BondName,IssuerCode,MatureDate,Rating,Outstanding
1132,PNMP01CSECN3,Obligasi Berwawasan Sosial Orange Berkelanjutan I PNM Tahap III Tahun 2026 Seri C,PNMP,2029-04-21T07:00:00,idAAA,279065000000.0
1133,SMPNMP01ASECN4,Sukuk Mudharabah Berwawasan Sosial Orange Berkelanjutan I PNM Tahap IV Tahun 2026 Seri A,PNMP,2027-05-01T07:00:00,idAAA(sy),540605000000.0
1134,SMPNMP01BSECN4,Sukuk Mudharabah Berwawasan Sosial Orange Berkelanjutan I PNM Tahap IV Tahun 2026 Seri B,PNMP,2028-04-21T07:00:00,idAAA(sy),25700000000.0
1135,SMPNMP01CSECN4,Sukuk Mudharabah Berwawasan Sosial Orange Berkelanjutan I PNM Tahap IV Tahun 2026 Seri C,PNMP,2029-04-21T07:00:00,idAAA(sy),155120000000.0
1136,SMII01ASLCN2,Obligasi Keberlanjutan Berkelanjutan I Sarana Multi Infrastruktur Tahap II Tahun 2026 Seri A,SMII,2027-05-16T07:00:00,idAAA,72128000000.0
1137,SMII01BSLCN2,Obligasi Keberlanjutan Berkelanjutan I Sarana Multi Infrastruktur Tahap II Tahun 2026 Seri B,SMII,2029-05-06T07:00:00,idAAA,77872000000.0
1168,ISSP03ACN1,Obligasi Berkelanjutan III SPINDO Tahap I Tahun 2026 Seri A,ISSP,2027-06-19T07:00:00,idA,31580000000.0
1169,ISSP03CCN1,Obligasi Berkelanjutan III SPINDO Tahap I Tahun 2026 Seri C,ISSP,2031-06-12T07:00:00,idA,43840000000.0
1170,ISSP03BCN1,Obligasi Berkelanjutan III SPINDO Tahap I Tahun 2026 Seri B,ISSP,2029-06-12T07:00:00,idA,26030000000.0
1173,SIISSP03ACN1,Sukuk Ijarah Berkelanjutan III SPINDO Tahap I Tahun 2026 Seri A,ISSP,2027-06-19T07:00:00,idA(sy),36210000000.0
1174,SIISSP03BCN1,Sukuk Ijarah Berkelanjutan III SPINDO Tahap I Tahun 2026 Seri B,ISSP,2029-06-12T07:00:00,idA(sy),65000000.0
1175,SIISSP03CCN1,Sukuk Ijarah Berkelanjutan III SPINDO Tahap I Tahun 2026 Seri C,ISSP,2031-06-12T07:00:00,idA(sy),22275000000.0
1206,SMFP08ACN2,Obligasi Berkelanjutan VIII Sarana Multigriya Finansial Tahap II Tahun 2026 Seri A,SMFP,2027-03-09T07:00:00,idAAA,995000000000.0
1207,SKSMFP02CN2,Sukuk Musyarakah Berkelanjutan II Sarana Multigriya Finansial Tahap II Tahun 2026,SMFP,2027-03-09T07:00:00,idAAA(sy),808065000000.0
1208,SMFP08BCN2,Obligasi Berkelanjutan VIII Sarana Multigriya Finansial Tahap II Tahun 2026 Seri B,SMFP,2028-02-27T07:00:00,idAAA,1010000000000.0
1218,SMPNMP07X11V,Sukuk Mudharabah Jangka Menengah VII PT Permodalan Nasional Madani Tahun 2025 Tahap XI,PNMP,2028-11-25T07:00:00,idAAA(sy),350000000000.0
1227,BBRI01BSOCN2,Obligasi Berwawasan Sosial Berkelanjutan I Bank BRI Tahap II Tahun 2026 Seri B,BBRI,2029-03-17T07:00:00,idAAA,2666255000000.0
1228,BBRI01ASOCN2,Obligasi Berwawasan Sosial Berkelanjutan I Bank BRI Tahap II Tahun 2026 Seri A,BBRI,2027-03-27T07:00:00,idAAA,1236245000000.0
1229,BBRI01CSOCN2,Obligasi Berwawasan Sosial Berkelanjutan I Bank BRI Tahap II Tahun 2026 Seri C,BBRI,2031-03-17T07:00:00,idAAA,1097500000000.0
1257,TPR-BBNI02XXJP,LTN Yang Dilakukan Tanpa Melalui Penawaran Umum PT Bank Negara Indonesia (Persero) Tbk II Tahun 2026,BBNI,2037-10-09T07:00:00,,1901617500.0
1260,BJBR01ASLCN2,Obligasi Keberlanjutan Berkelanjutan I Bank BJB Tahap II Tahun 2026 Seri A,BJBR,2029-04-15T07:00:00,idAA,691340000000.0
1261,BJBR01BSLCN2,Obligasi Keberlanjutan Berkelanjutan I Bank BJB Tahap II Tahun 2026 Seri B,BJBR,2031-04-15T07:00:00,idAA,241075000000.0
1262,PNMP01ASECN3,Obligasi Berwawasan Sosial Orange Berkelanjutan I PNM Tahap III Tahun 2026 Seri A,PNMP,2027-05-01T07:00:00,idAAA,709505000000.0
1263,PNMP01BSECN3,Obligasi Berwawasan Sosial Orange Berkelanjutan I PNM Tahap III Tahun 2026 Seri B,PNMP,2028-04-21T07:00:00,idAAA,25005000000.0
1267,PNMP04CCN1,Obligasi Berkelanjutan IV PNM Tahap I Tahun 2021 Seri C,PNMP,2026-12-10T07:00:00,idAAA,1000000000000.0
1325,BJBR03BSBCN2,Obligasi Subordinasi Berkelanjutan III Bank BJB Tahap II Tahun 2022 Seri B,BJBR,2029-06-09T07:00:00,idA+,600090000000.0
1326,BBNI01BGN,Obligasi Green Bond I PT Bank Negara Indonesia (Persero) Tbk. Tahun 2022 Seri B,BBNI,2027-06-21T07:00:00,idAAA,1000000000000.0
1328,BJBR03ASBCN2,Obligasi Subordinasi Berkelanjutan III Bank BJB Tahap II Tahun 2022 Seri A,BJBR,2027-06-09T07:00:00,idA+,399910000000.0
1334,SMPNMP01CSECN1,Sukuk Mudharabah Berwawasan Sosial Orange Berkelanjutan I PNM Tahap I Tahun 2025 Seri C,PNMP,2030-07-08T07:00:00,idAAA(sy),610005000000.0
1345,SMPNMP07X2V,Sukuk Mudharabah Jangka Menengah VII PT Permodalan Nasional Madani Tahun 2025 Tahap II,PNMP,2026-07-27T07:00:00,idAAA(sy),100000000000.0
1369,PPGD06BCN3,Obligasi Berkelanjutan VI Pegadaian Tahap III Tahun 2025 Seri B,PPGD,2028-09-03T07:00:00,idAAA,362005000000.0
1370,PPGD06ACN3,Obligasi Berkelanjutan VI Pegadaian Tahap III Tahun 2025 Seri A,PPGD,2026-09-13T07:00:00,idAAA,1869775000000.0
1372,SMPNMP07X3V,Sukuk Mudharabah Jangka Menengah VII PT Permodalan Nasional Madani Tahun 2025 Tahap III,PNMP,2026-09-14T07:00:00,idAAA(sy),85000000000.0
1378,TPR-BBRI04XXJP,LTN Yang Dilakukan Tanpa Melalui Penawaran Umum PT Bank Rakyat Indonesia (Persero) Tbk IV Tahun 2024,BBRI,2038-01-16T07:00:00,,81271555499.0
1384,SMPPGD03BCN5,Sukuk Mudharabah Berkelanjutan III Pegadaian Tahap V Tahun 2025 Seri B,PPGD,2028-09-03T07:00:00,idAAA(sy),165005000000.0
1385,SMPPGD03ACN5,Sukuk Mudharabah Berkelanjutan III Pegadaian Tahap V Tahun 2025 Seri A,PPGD,2026-09-13T07:00:00,idAAA(sy),1454130000000.0
1406,SMFP06CN3,Obligasi Berkelanjutan VI Sarana Multigriya Finansial Tahap III Tahun 2022,SMFP,2027-09-21T07:00:00,idAAA,3000000000000.0
1412,BMRISB02XXMF,MTN Subordinasi II PT Bank Mandiri (Persero) Tbk Tahun 2023,BMRI,2028-06-23T07:00:00,idAA,100000000000.0
1413,TPR-SMBRIS01X1JP,Sukuk Mudharabah Muqayadah Jangka Panjang Yang Dilakukan Tanpa Melalui Penawaran Umum I PT Bank BSI Tbk Tahun 2023 Tahap I,BRIS,2035-12-26T07:00:00,,3758737500.0
1414,MICK06CN41,Obligasi Berkelanjutan VI Sarana Multigriya Finansial Tahap IV Tahun 2023,SMFP,2028-02-22T07:00:00,,2000000000000.0
1436,BMRI01AGNCN1,Obligasi Berwawasan Lingkungan Berkelanjutan I Bank Mandiri Tahap I Tahun 2023 Seri A,BMRI,2026-07-04T07:00:00,idAAA,1950000000000.0
1437,BBRI04SB,Obligasi Subordinasi IV Bank BRI Tahun 2023,BBRI,2028-07-06T07:00:00,idAA,500000000000.0
