Nomor,BondId,BondName,IssuerCode,MatureDate,Rating,Outstanding
296,SMBRIS01CSLCN2,Sukuk Mudharabah Berlandaskan Keberlanjutan Berkelanjutan I Bank BSI Tahap II Tahun 2025 Seri C,BRIS,2028-06-26T07:00:00,idAAA(sy),2380000000000.0
297,BBRI01BSOCN1,Obligasi Berwawasan Sosial Berkelanjutan I Bank BRI Tahap I Tahun 2025 Seri B,BBRI,2028-06-26T07:00:00,idAAA,2110745000000.0
298,SMBRIS01ASLCN2,Sukuk Mudharabah Berlandaskan Keberlanjutan Berkelanjutan I Bank BSI Tahap II Tahun 2025 Seri A,BRIS,2026-07-06T07:00:00,idAAA(sy),2445000000000.0
299,SMBRIS01BSLCN2,Sukuk Mudharabah Berlandaskan Keberlanjutan Berkelanjutan I Bank BSI Tahap II Tahun 2025 Seri B,BRIS,2027-06-26T07:00:00,idAAA(sy),175000000000.0
300,BBRI01CSOCN1,Obligasi Berwawasan Sosial Berkelanjutan I Bank BRI Tahap I Tahun 2025 Seri C,BBRI,2030-06-26T07:00:00,idAAA,1326165000000.0
320,BBRI02ECN1,Obligasi Berkelanjutan II Bank BRI Tahap I Tahun 2016 Seri E,BBRI,2026-12-01T07:00:00,idAAA,2350000000000.0
361,BBRI01CGNCN1,Obligasi Berwawasan Lingkungan Berkelanjutan I Bank BRI Tahap I Tahun 2022 Seri C,BBRI,2027-07-20T07:00:00,idAAA,500000000000.0
423,SMFP06CN4,Obligasi Berkelanjutan VI Sarana Multigriya Finansial Tahap IV Tahun 2023,SMFP,2028-02-22T07:00:00,idAAA,2000000000000.0
429,ISSP02CCN1,Obligasi Berkelanjutan II SPINDO Tahap I Tahun 2023 Seri C,ISSP,2028-04-04T07:00:00,idA,800000000.0
430,SIISSP02CCN1,Sukuk Ijarah Berkelanjutan II SPINDO Tahap I Tahun 2023 Seri C,ISSP,2028-04-04T07:00:00,idA(sy),10900000000.0
447,BBNI01BSLCN1,Obligasi Berlandaskan Keberlanjutan Berkelanjutan I Bank BNI Tahap I Tahun 2025 Seri B,BBNI,2030-07-04T07:00:00,idAAA,1500000000000.0
454,SKSMFP02CN1,Sukuk Musyarakah Berkelanjutan II Sarana Multigriya Finansial Tahap I Tahun 2025,SMFP,2026-07-18T07:00:00,idAAA(sy),445000000000.0
459,SKSMFP02SOCN1,Sukuk Musyarakah Berwawasan Sosial Berkelanjutan II Sarana Multigriya Finansial Tahap I Tahun 2025,SMFP,2030-07-08T07:00:00,idAAA(sy),250000000000.0
484,BMRI02BCN1,Obligasi Berkelanjutan II Bank Mandiri Tahap I Tahun 2020 Seri B,BMRI,2027-05-12T07:00:00,idAAA,650000000000.0
503,SMFP08ACN1,Obligasi Berkelanjutan VIII Sarana Multigriya Finansial Tahap I Tahun 2025 Seri A,SMFP,2026-07-18T07:00:00,idAAA,1460150000000.0
504,SMII01ASLCN1,Obligasi Keberlanjutan Berkelanjutan I Sarana Multi Infrastruktur Tahap I Tahun 2025 Seri A,SMII,2026-07-18T07:00:00,idAAA,465000000000.0
506,PNMP01CSECN1,Obligasi Berwawasan Sosial Orange Berkelanjutan I PNM Tahap I Tahun 2025 Seri C,PNMP,2030-07-08T07:00:00,idAAA,537000000000.0
508,SMII01CSLCN1,Obligasi Keberlanjutan Berkelanjutan I Sarana Multi Infrastruktur Tahap I Tahun 2025 Seri C,SMII,2030-07-08T07:00:00,idAAA,25000000000.0
512,PNMP01ASECN1,Obligasi Berwawasan Sosial Orange Berkelanjutan I PNM Tahap I Tahun 2025 Seri A,PNMP,2026-07-18T07:00:00,idAAA,220000000000.0
516,SMII01BSLCN1,Obligasi Keberlanjutan Berkelanjutan I Sarana Multi Infrastruktur Tahap I Tahun 2025 Seri B,SMII,2028-07-08T07:00:00,idAAA,110000000000.0
517,PNMP01BSECN1,Obligasi Berwawasan Sosial Orange Berkelanjutan I PNM Tahap I Tahun 2025 Seri B,PNMP,2028-07-08T07:00:00,idAAA,243000000000.0
