IssuerCode,n_bonds,total_outstanding_triliun,priority_tier,batch,green_name_hint,social_name_hint,sample_bond_names
DART,2,0.3,2,2,,,Obligasi Berkelanjutan IV Duta Anggada Realty Tahap I Tahun  | Obligasi Berkelanjutan IV Duta Anggada Realty Tahap I Tahun 
PACK,1,0.181,2,3,Ya,,Obligasi Wajib Konversi Abadi Nusantara Hijau Investama I Ta
BBCA,1,0.065,2,3,,,Obligasi Subordinasi Berkelanjutan I Bank Central Asia Tahap
MEGA,1,0.05,2,3,,,MTN Subordinasi PT Bank Mega Tbk Tahun 2025
AGRO,1,0.0,2,3,,,Obligasi untuk skenario When Issued
PRAS,1,100.0,3,4,,,X
DNTR-M,6,68.382,3,4,,,Surat Utang Jangka Panjang Yang Ditawarkan Tanpa Melalui Pen | Surat Utang Jangka Panjang Yang Ditawarkan Tanpa Melalui Pen
INKP,89,36.563,3,4,,,Obligasi Berkelanjutan V Indah Kiat Pulp & Paper Tahap IV Ta | Obligasi Berkelanjutan V Indah Kiat Pulp & Paper Tahap IV Ta
MBMA,24,18.494,3,4,,,Sukuk Mudharabah Berkelanjutan I Merdeka Battery Materials T | Sukuk Mudharabah Berkelanjutan I Merdeka Battery Materials T
LPPI,32,16.012,3,4,,,Obligasi Berkelanjutan I Lontar Papyrus Pulp & Paper Industr | Obligasi Berkelanjutan II Lontar Papyrus Pulp & Paper Indust
TPIA,25,12.376,3,4,,,Obligasi Berkelanjutan III Chandra Asri Petrochemical Tahap  | Obligasi Berkelanjutan III Chandra Asri Petrochemical Tahap 
MDKA,8,10.92,3,4,,,Obligasi Berkelanjutan V Merdeka Copper Gold Tahap II Tahun  | Obligasi Berkelanjutan III Merdeka Copper Gold Tahap III Tah
ASDF,15,10.785,3,4,,,Obligasi Berkelanjutan VII Astra Sedaya Finance Tahap I Tahu | Obligasi Berkelanjutan VII Astra Sedaya Finance Tahap I Tahu
FIFA,11,9.183,3,4,,,Obligasi Berkelanjutan VII Federal International Finance Tah | Obligasi Berkelanjutan VI Federal International Finance Taha
PIDL,22,8.073,3,4,,,Sukuk Mudharabah Berkelanjutan I Pindo Deli Pulp And Paper M | Sukuk Mudharabah Berkelanjutan I Pindo Deli Pulp And Paper M
PTHK,11,7.879,3,4,,,Obligasi Berkelanjutan II Hutama Karya Tahap I Tahun 2021 Se | Obligasi Berkelanjutan II Hutama Karya Tahap I Tahun 2021 Se
WISL,14,7.278,3,4,,,Obligasi Berkelanjutan I Wahana Inti Selaras Tahap I Tahun 2 | Obligasi I Wahana Inti Selaras Tahun 2022 Seri C
KAII,21,7.1,3,4,,,Obligasi II Kereta Api Indonesia Tahun 2019 Seri B | Obligasi Berkelanjutan II Kereta Api Indonesia Tahap II Tahu
SMMA,9,7.097,3,4,,,Obligasi Berkelanjutan II Sinar Mas Multiartha Tahap II Tahu | Obligasi Berkelanjutan II Sinar Mas Multiartha Tahap III Tah
DSSA,15,6.512,3,4,,,Obligasi Berkelanjutan I Dian Swastatika Sentosa Tahap I Tah | Sukuk Mudharabah Berkelanjutan I Dian Swastatika Sentosa Tah
TUFI,12,5.747,3,4,,,Obligasi Berkelanjutan VII Mandiri Tunas Finance Tahap I Tah | Obligasi Berkelanjutan VII Mandiri Tunas Finance Tahap I Tah
IJEE,12,5.046,3,4,,,Obligasi II Integrasi Jaringan Ekosistem Tahun 2025 Seri B | Obligasi II Integrasi Jaringan Ekosistem Tahun 2025 Seri A
BRPT,11,4.701,3,4,,,Obligasi Berkelanjutan III Barito Pacific Tahap I Tahun 2023 | Obligasi Berkelanjutan III Barito Pacific Tahap I Tahun 2023
TAFS,11,4.374,3,4,,,Obligasi Berkelanjutan IV Toyota Astra Financial Services Ta | Obligasi Berkelanjutan V Toyota Astra Financial Services Tah
BUMI,10,4.304,3,4,,,Obligasi Berkelanjutan I Bumi Tahap I Tahun 2025 Seri C | Obligasi Berkelanjutan I Bumi Tahap I Tahun 2025 Seri B
BEXI,8,4.046,3,4,,,Obligasi Berkelanjutan Indonesia Eximbank IV Tahap IV Tahun  | Obligasi Berkelanjutan Indonesia Eximbank IV Tahap IV Tahun 
APAI,12,3.96,3,4,,,Sukuk Ijarah Berkelanjutan I Angkasa Pura I Tahap I Tahun 20 | Obligasi Berkelanjutan I Angkasa Pura I Tahap I Tahun 2021 S
MYOR,9,3.868,3,4,,,Obligasi Berkelanjutan II Mayora Indah Tahap I Tahun 2020 Se | Obligasi Berkelanjutan III Mayora Indah Tahap II Tahun 2025 
SMAR,9,3.835,3,4,,,Sukuk Ijarah Berkelanjutan I SMART Tahap I Tahun 2025 | Obligasi Berkelanjutan V SMART Tahap I Tahun 2025
ARMA,3,3.833,3,4,,,Sukuk Mudharabah Berkelanjutan I Armadian Tritunggal Tahap I | Sukuk Mudharabah Berkelanjutan I Armadian Tritunggal Tahap I
BMTR,26,3.758,3,5,,,Obligasi Berkelanjutan II Global Mediacom Tahap II Tahun 202 | Sukuk Ijarah Berkelanjutan II Global Mediacom Tahap II Tahun
BBKP,8,3.538,3,5,,,Obligasi Subordinasi Berkelanjutan IV KB Bank Tahap I Tahun  | Obligasi Subordinasi Berkelanjutan III Bank KB Bukopin Tahap
SANF,7,3.353,3,5,,,Obligasi Berkelanjutan V SANF Dengan Tingkat Bunga Tetap Tah | Obligasi Berkelanjutan V SANF Dengan Tingkat Bunga Tetap Tah
PALM,13,3.325,3,5,,,Obligasi Berkelanjutan II Provident Investasi Bersama Tahap  | Obligasi Berkelanjutan II Provident Investasi Bersama Tahap 
BOLD,9,3.304,3,5,,,Sukuk Ijarah I BUMA Tahun 2025 Seri C | Sukuk Ijarah I BUMA Tahun 2025 Seri B
CNAF,6,3.09,3,5,,,Sukuk Wakalah Bi Al-Istitsmar Berkelanjutan I CIMB Niaga Aut | Sukuk Wakalah Bi Al-Istitsmar Berkelanjutan I CIMB Niaga Aut
BMTP,4,3.0,3,5,,,Obligasi Berkelanjutan II Bank Mandiri Taspen Tahap I Tahun  | Obligasi Berkelanjutan II Bank Mandiri Taspen Tahap I Tahun 
CUAN,8,3.0,3,5,,,Obligasi Berkelanjutan I Petrindo Jaya Kreasi Tahap I Tahun  | Sukuk Wakalah Berkelanjutan I Petrindo Jaya Kreasi Tahap I T
APIA,3,2.959,3,5,,,Obligasi Berkelanjutan I Angkasa Pura II Tahap II Tahun 2020 | Obligasi I Angkasa Pura II Tahun 2016 Seri C
PTRO,12,2.92,3,5,,,Sukuk Ijarah Berkelanjutan I Petrosea Tahap I Tahun 2024 Ser | Obligasi Berkelanjutan I Petrosea Tahap I Tahun 2024 Seri D
BESL-M,8,2.87,3,5,,,LTN I PT Bintang Express Sarana Tahun 2024 Tahap II | LTN I PT Bintang Express Sarana Tahun 2024 Tahap IV
BAFI,6,2.758,3,5,,,Obligasi Berkelanjutan II Bussan Auto Finance Tahap IV Tahun | Obligasi Berkelanjutan III Bussan Auto Finance Tahap II Tahu
MEDP,10,2.75,3,5,,,Obligasi Berkelanjutan I Medco Power Indonesia Tahap I Tahun | Obligasi Berkelanjutan I Medco Power Indonesia Tahap I Tahun
TRIM,10,2.361,3,5,,,Obligasi Berkelanjutan II Trimegah Sekuritas Indonesia Tahap | Obligasi Berkelanjutan II Trimegah Sekuritas Indonesia Tahap
OTMA,8,2.306,3,5,,,Obligasi Berkelanjutan I Oto Multiartha Tahap III Tahun 2025 | Obligasi Berkelanjutan I Oto Multiartha Tahap III Tahun 2025
WSBP,4,2.177,3,5,,,Obligasi Waskita Beton Precast I Tahun 2022 | Obligasi Wajib Konversi Waskita Beton Precast II Tahun 2023
PPAP,3,2.106,3,5,,,Obligasi I Perusahaan Pengelola Aset Tahun 2020 Seri C | Sukuk Wakalah BI AL-ISTITSMAR Jangka Panjang TPU I PT Perusa
BPUI-M,1,2.0,3,5,,,MTN I PT Bahana Pembinaan Usaha Indonesia (Persero) Tahun 20
INJH-M,1,2.0,3,5,,,Sukuk Wakalah Bi Al-Istitsmar Jangka Panjang Yang Dilakukan 
BBMI,1,2.0,3,5,,,Sukuk Subordinasi Mudharabah Jangka Panjang Tanpa Penawaran 
POST,7,1.9,3,5,,,Obligasi I Pos Indonesia Tahun 2022 Seri B | Sukuk Ijarah Berkelanjutan I Pos Indonesia Tahap I Tahun 202
PRNS-M,9,1.81,3,5,,,Surat Utang Jangka Panjang Yang Ditawarkan Melalui Penawaran | Surat Utang Jangka Panjang Yang Ditawarkan Melalui Penawaran
HIFI,6,1.58,3,5,,,Obligasi III Hino Finance Indonesia Tahun 2024 Seri B | Obligasi II Hino Finance Indonesia Tahun 2023 Seri B
SMDR,3,1.539,3,5,,,Sukuk Ijarah Berkelanjutan I Samudera Indonesia Tahap II Tah | Sukuk Ijarah Berkelanjutan I Samudera Indonesia Tahap I Tahu
SOFN,3,1.5,3,5,,,Obligasi I Summit Oto Finance Tahun 2025 Seri B | Obligasi I Summit Oto Finance Tahun 2025 Seri A
NITA,3,1.5,3,6,,,Obligasi I Nirmala Taruna Tahun 2023 Seri B | Obligasi I Nirmala Taruna Tahun 2023 Seri A
BBIA,5,1.45,3,6,,,Obligasi Subordinasi Berkelanjutan II Bank UOB Indonesia Tah | Obligasi Subordinasi Berkelanjutan II Bank UOB Indonesia Tah
DNRK,3,1.365,3,6,,,Obligasi VII Danareksa Tahun 2023 Seri B | Obligasi VIII Danareksa Tahun 2023 Seri C
BALI,2,1.354,3,6,,,Sukuk Ijarah Berkelanjutan I Bali Towerindo Sentra Tahap III | Sukuk Ijarah Berkelanjutan I Bali Towerindo Sentra Tahap III
IHCP-M,1,1.328,3,6,,,Efek Bersifat Utang Jangka Menengah Wajib Konversi (Mandator
BIIF,3,1.25,3,6,,,Obligasi Berkelanjutan IV Maybank Finance Tahap II Tahun 202 | Obligasi Berkelanjutan IV Maybank Finance Tahap II Tahun 202
