issuer,folder,pdf_filename,title_gss,ml_pred,ml_class,confidence,top_env,top_soc,needs_review,sector_keys,framing_body,framing_title,pdf_full_path
BTPN,20240229_BTPN_Penyampaian Prospektus,20240229_BTPN_Penyampaian Prospektus_Informasi Tambahan_31582114_lamp2.pdf,False,NonGSS,obligasi_biasa,0.6200,,,False,,social bond|sustainability bond,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240229_BTPN_Penyampaian Prospektus\20240229_BTPN_Penyampaian Prospektus_Informasi Tambahan_31582114_lamp2.pdf
SDRA,20240306_SDRA_Penyampaian Bukti Iklan Pe_752dd6,20240306_SDRA_Penyampaian Bukti Iklan_31594389_lamp1.pdf,None,NonGSS,obligasi_biasa,0.8000,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240306_SDRA_Penyampaian Bukti Iklan Pe_752dd6\20240306_SDRA_Penyampaian Bukti Iklan_31594389_lamp1.pdf
SDRA,20240306_SDRA_Penyampaian Bukti Iklan Pe_752dd6,20240306_SDRA_Penyampaian Bukti Iklan_31594389_lamp2.pdf,None,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240306_SDRA_Penyampaian Bukti Iklan Pe_752dd6\20240306_SDRA_Penyampaian Bukti Iklan_31594389_lamp2.pdf
SDRA,20240318_SDRA_Penyampaian Bukti Iklan Pe_5e256d,20240318_SDRA_Penyampaian Bukti Iklan_31607247_lamp2.pdf,None,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240318_SDRA_Penyampaian Bukti Iklan Pe_5e256d\20240318_SDRA_Penyampaian Bukti Iklan_31607247_lamp2.pdf
SMMA,20240318_SMMA_Penyampaian Bukti Iklan Bu_8df291,20240318_SMMA_Penyampaian Bukti Iklan_31607169_lamp2.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240318_SMMA_Penyampaian Bukti Iklan Bu_8df291\20240318_SMMA_Penyampaian Bukti Iklan_31607169_lamp2.pdf
FITT,20240322_FITT_Penyampaian Prospektus,20240322_FITT_Penyampaian Prospektus_Informasi Tambahan_31608814_lamp1.pdf,None,NonGSS,obligasi_biasa,0.8200,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240322_FITT_Penyampaian Prospektus\20240322_FITT_Penyampaian Prospektus_Informasi Tambahan_31608814_lamp1.pdf
ASDF,20240328_ASDF_Penyampaian Prospektus,20240328_ASDF_Penyampaian Prospektus_Informasi Tambahan_31620661_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240328_ASDF_Penyampaian Prospektus\20240328_ASDF_Penyampaian Prospektus_Informasi Tambahan_31620661_lamp1.pdf
DSSA,20240401_DSSA_Penyampaian Bukti Iklan Pr_7ebaa8,20240401_DSSA_Penyampaian Bukti Iklan_31622216_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240401_DSSA_Penyampaian Bukti Iklan Pr_7ebaa8\20240401_DSSA_Penyampaian Bukti Iklan_31622216_lamp1.pdf
DSSA,20240401_DSSA_Penyampaian Prospektus,20240401_DSSA_Penyampaian Prospektus_Informasi Tambahan_31622284_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240401_DSSA_Penyampaian Prospektus\20240401_DSSA_Penyampaian Prospektus_Informasi Tambahan_31622284_lamp1.pdf
SMMA,20240401_SMMA_Penyampaian Bukti Iklan In_48fb25,20240401_SMMA_Penyampaian Bukti Iklan_31621655_lamp2.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240401_SMMA_Penyampaian Bukti Iklan In_48fb25\20240401_SMMA_Penyampaian Bukti Iklan_31621655_lamp2.pdf
SMMA,20240401_SMMA_Penyampaian Prospektus,20240401_SMMA_Penyampaian Prospektus_Informasi Tambahan_31621670_lamp2.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240401_SMMA_Penyampaian Prospektus\20240401_SMMA_Penyampaian Prospektus_Informasi Tambahan_31621670_lamp2.pdf
PYFA,20240404_PYFA_Informasi Tambahan atas Pr_b707d9,20240404_PYFA_Laporan Informasi dan Fakta Material_31624599_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240404_PYFA_Informasi Tambahan atas Pr_b707d9\20240404_PYFA_Laporan Informasi dan Fakta Material_31624599_lamp1.pdf
PYFA,20240404_PYFA_Penyampaian Prospektus,20240404_PYFA_Penyampaian Prospektus_Informasi Tambahan_31624549_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240404_PYFA_Penyampaian Prospektus\20240404_PYFA_Penyampaian Prospektus_Informasi Tambahan_31624549_lamp1.pdf
SDRA,20240416_SDRA_Penyampaian Bukti Iklan Bu_6c12bc,20240416_SDRA_Penyampaian Bukti Iklan_31626509_lamp2.pdf,None,NonGSS,obligasi_biasa,0.8000,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240416_SDRA_Penyampaian Bukti Iklan Bu_6c12bc\20240416_SDRA_Penyampaian Bukti Iklan_31626509_lamp2.pdf
SDRA,20240416_SDRA_Penyampaian Prospektus,20240405_SDRA_Penyampaian Prospektus_Informasi Tambahan_31625611_lamp1.pdf,None,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240416_SDRA_Penyampaian Prospektus\20240405_SDRA_Penyampaian Prospektus_Informasi Tambahan_31625611_lamp1.pdf
SDRA,20240416_SDRA_Prospektus PMHMETD IV,20240416_SDRA_Laporan Informasi dan Fakta Material_31626482_lamp3.pdf,None,NonGSS,obligasi_biasa,0.8000,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240416_SDRA_Prospektus PMHMETD IV\20240416_SDRA_Laporan Informasi dan Fakta Material_31626482_lamp3.pdf
ASDF,20240419_ASDF_Penyampaian Prospektus,20240418_ASDF_Penyampaian Prospektus_Informasi Tambahan_31627152_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240419_ASDF_Penyampaian Prospektus\20240418_ASDF_Penyampaian Prospektus_Informasi Tambahan_31627152_lamp1.pdf
FREN,20240419_FREN_Penyampaian Prospektus,20240419_FREN_Penyampaian Prospektus_Informasi Tambahan_31627440_lamp1.pdf,None,NonGSS,obligasi_biasa,0.7300,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240419_FREN_Penyampaian Prospektus\20240419_FREN_Penyampaian Prospektus_Informasi Tambahan_31627440_lamp1.pdf
HRTA,20240426_HRTA_Pemberitahuan atas Prospek_fb503f,20240426_HRTA_Laporan Informasi dan Fakta Material_31630168_lamp2.pdf,False,NonGSS,obligasi_biasa,0.8400,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240426_HRTA_Pemberitahuan atas Prospek_fb503f\20240426_HRTA_Laporan Informasi dan Fakta Material_31630168_lamp2.pdf
HRTA,20240503_HRTA_Informasi Tambahan atas Pr_983cea,20240503_HRTA_Laporan Informasi dan Fakta Material_31634336_lamp2.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240503_HRTA_Informasi Tambahan atas Pr_983cea\20240503_HRTA_Laporan Informasi dan Fakta Material_31634336_lamp2.pdf
BBIA,20240529_BBIA_Penyampaian Bukti Iklan Pr_f9c040,20240529_BBIA_Penyampaian Bukti Iklan_31643716_lamp3.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240529_BBIA_Penyampaian Bukti Iklan Pr_f9c040\20240529_BBIA_Penyampaian Bukti Iklan_31643716_lamp3.pdf
WOMF,20240530_WOMF_Penyampaian Prospektus,20240530_WOMF_Penyampaian Prospektus_Informasi Tambahan_31644205_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240530_WOMF_Penyampaian Prospektus\20240530_WOMF_Penyampaian Prospektus_Informasi Tambahan_31644205_lamp1.pdf
WOMF,20240530_WOMF_Penyampaian Prospektus,20240530_WOMF_Penyampaian Prospektus_Informasi Tambahan_31644205_lamp2.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240530_WOMF_Penyampaian Prospektus\20240530_WOMF_Penyampaian Prospektus_Informasi Tambahan_31644205_lamp2.pdf
PTPP,20240607_PTPP_Penyampaian Prospektus,20240607_PTPP_Penyampaian Prospektus_Informasi Tambahan_31648261_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8300,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240607_PTPP_Penyampaian Prospektus\20240607_PTPP_Penyampaian Prospektus_Informasi Tambahan_31648261_lamp1.pdf
INCO,20240610_INCO_Penyampaian Prospektus,20240610_INCO_Penyampaian Prospektus_Informasi Tambahan_31659329_lamp1.pdf,None,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240610_INCO_Penyampaian Prospektus\20240610_INCO_Penyampaian Prospektus_Informasi Tambahan_31659329_lamp1.pdf
INCO,20240610_INCO_Penyampaian Prospektus (KOREKSI),20240610_INCO_Penyampaian Prospektus_Informasi Tambahan_31659841_lamp2.pdf,None,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240610_INCO_Penyampaian Prospektus (KOREKSI)\20240610_INCO_Penyampaian Prospektus_Informasi Tambahan_31659841_lamp2.pdf
TPMA,20240611_TPMA_Penyampaian Prospektus,20240611_TPMA_Penyampaian Prospektus_Informasi Tambahan_31659960_lamp2.pdf,None,NonGSS,obligasi_biasa,0.8700,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240611_TPMA_Penyampaian Prospektus\20240611_TPMA_Penyampaian Prospektus_Informasi Tambahan_31659960_lamp2.pdf
BVIC,20240612_BVIC_Penyampaian Bukti Iklan Pr_ce6568,20240612_BVIC_Penyampaian Bukti Iklan_31660859_lamp1.pdf,False,NonGSS,obligasi_biasa,0.6100,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240612_BVIC_Penyampaian Bukti Iklan Pr_ce6568\20240612_BVIC_Penyampaian Bukti Iklan_31660859_lamp1.pdf
MTEL,20240619_MTEL_Penyampaian Bukti Iklan Pr_f1ebac,20240619_MTEL_Penyampaian Bukti Iklan_31662463_lamp2.pdf,None,NonGSS,obligasi_biasa,0.8000,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240619_MTEL_Penyampaian Bukti Iklan Pr_f1ebac\20240619_MTEL_Penyampaian Bukti Iklan_31662463_lamp2.pdf
MTEL,20240619_MTEL_Prospektus Ringkas Penawar_a36a31,20240619_MTEL_Laporan Informasi dan Fakta Material_31662458_lamp2.pdf,None,NonGSS,obligasi_biasa,0.8000,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240619_MTEL_Prospektus Ringkas Penawar_a36a31\20240619_MTEL_Laporan Informasi dan Fakta Material_31662458_lamp2.pdf
PRTL,20240619_PRTL_Prospektus Ringkas Penawar_82e9ad,20240619_PRTL_Laporan Informasi dan Fakta Material_31662250_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240619_PRTL_Prospektus Ringkas Penawar_82e9ad\20240619_PRTL_Laporan Informasi dan Fakta Material_31662250_lamp1.pdf
PRTL,20240619_PRTL_Prospektus Ringkas Penawar_82e9ad,20240619_PRTL_Laporan Informasi dan Fakta Material_31662250_lamp2.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240619_PRTL_Prospektus Ringkas Penawar_82e9ad\20240619_PRTL_Laporan Informasi dan Fakta Material_31662250_lamp2.pdf
PRTL,20240619_PRTL_Surat Pengantar atas Bukti_7465fe,20240619_PRTL_Laporan Informasi dan Fakta Material_31662315_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240619_PRTL_Surat Pengantar atas Bukti_7465fe\20240619_PRTL_Laporan Informasi dan Fakta Material_31662315_lamp1.pdf
