model,accuracy,f1_score,cv_mean,cv_std
Logistic Regression,1.0,1.0,0.9978141990267977,0.002698647710166549
SVM (Linear),1.0,1.0,1.0,0.0
Decision Tree,0.994535519125683,0.9921935987509759,0.9950436938121193,0.0043420750216053424
Gradient Boosting,0.994535519125683,0.9921935987509759,0.997229486161846,0.0034430217270953888
SVM (RBF),0.9781420765027322,0.9673338767623706,0.9947188862934834,0.007300629291598615
Random Forest,0.9781420765027322,0.9673338767623706,0.9661863082298122,0.006984428189356071
